condition,genes,base_mean,log2fold_change,lfc_se,stat,pvalue,padj,direction,...10,gse_id,samples_bygse,vaccine,samples_byvaccine,samples,day,week,dose,infection,type,regimen,disease_vac,severity,variant,prior_infection,previous_vaccination
"BNT (V2, D1)",RAB1B,2537.05627619355,0.130972630050891,0.0485403664696633,2.69822087422322,0.00697111709693446,0.0234273737048894,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",HMGXB4,304.444346822016,0.161763453365488,0.0297549789935593,5.43651714224039,5.4332114269721e-8,7.42679455713154e-7,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TVP23A,1.80495067695396,-0.809878671843498,0.328068950936341,-2.4686233474153,0.0135633898052955,0.0408561206396587,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",PCLO,1.29992997798443,-1.00242955021094,0.406401773380128,-2.46659738188032,0.0136403632689928,0.0410555747872827,DOWN,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SLC2A4RG,314.933144510547,-0.248158150775318,0.0581976930065495,-4.26405477528792,2.00750197389484e-5,1.4798379006534e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ZNF672,414.549982417501,0.168932771669855,0.0398954516458839,4.23438674587067,2.29176245469018e-5,1.6626810027876e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",LMF1,166.460404517025,-0.236180186116469,0.063959830339066,-3.69263309274623,2.219441207302e-4,0.00122095929558835,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CENPF,320.72449387383,0.314690268209472,0.0723674273113346,4.34850705491618,1.37067410153893e-5,1.0616696288509e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPR84,25.6420606481601,1.6730689956231,0.163225516319829,10.2500456628659,1.18287643580663e-24,1.14274847570585e-22,UP,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TGDS,80.3382180925188,-0.1693257423091,0.0546355623738109,-3.09918549296867,0.00194053484425204,0.00793401532035619,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",VPS51,860.134971481096,-0.258237311265663,0.0563636752447289,-4.58162655547934,4.61373258144877e-6,4.01963550931701e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TRDC,275.299148068099,-0.441209651589873,0.139325112171807,-3.16676329709895,0.00154145731741341,0.00651887823042067,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
