"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"85","LVS F TULARENSIS (H18)","YF VAX (ANY)",0,78,29,78,29,"",0,0,8.16346919251472e-27,26.088125241861
"86","LVS F TULARENSIS (H18)","YF17D (D3)",2,76,44,78,94,"LAMP3, TLR7",2.56,2.13,3.15508666532755e-31,30.5009887068615
"87","LVS F TULARENSIS (H18)","YF VAX (D4-7)",5,73,596,78,601,"FCGR3A, CCR5, CD74, CD86, TAP1",6.41,0.83,1.73871257793339e-92,91.7597722041585
"88","LVS F TULARENSIS (H18)","STAMARIL (D10)",5,73,298,78,303,"TAP2, CCR1, FCER1A, TAP1, TLR7",6.41,1.65,1.72967258502926e-72,71.7620360980114
"89","LVS F TULARENSIS (H18)","STAMARIL (D14)",1,77,69,78,70,"HSP90B1",1.28,1.43,7.85346860303324e-42,41.1049384881659
"90","LVS F TULARENSIS (H18)","STAMARIL (D28)",2,76,38,78,40,"FCER1G, MYD88",2.56,5,1.36153229152864e-28,27.8659720540182
"91","LVS F TULARENSIS (H18)","STAMARIL (D3)",9,69,314,78,323,"TAP2, TICAM1, CCR1, CD68, CD86, FCER1G, MYD88, TAP1, TLR7",11.54,2.79,2.10291274831981e-67,66.6771787461959
"92","LVS F TULARENSIS (H18)","STAMARIL (D60)",5,73,79,78,84,"CD74, CD86, NOD2, TAP1, TLR7",6.41,5.95,2.66643697892989e-39,38.5740686763825
"93","LVS F TULARENSIS (H18)","STAMARIL (D7)",12,66,471,78,483,"LAMP3, TAP2, TICAM1, CCR1, CD68, CD74, CD86, FCER1G, MYD88, NOD2, TAP1, TLR7",15.38,2.48,2.14068584204565e-73,72.6694470632413
"94","LVS F TULARENSIS (H192)","LVS F TULARENSIS (H336)",77,1,1,78,78,"B2M, CCL17, CCL18, CCL19, CCL20, CCR1, CCR3, CCR6, CCR7, CD209, CD44, CD58, CD68, CD74, CD80, CD83, CDC42, DCSTAMP, FAS, FCER1A, FCER1G, FCGR2A, FCGR2B, FCGR3A, HSP90B1, ICAM1, ICOS, IRAK1, LAMP3, PYCARD, SOD2, TAP2, TICAM1, ADAMDEC1, CARD10, CARD14, CARD8, CARD9, CCL16, CCL21, CCL22, CCR2, CCR4, CCR5, CD1A, CD1B, CD1C, CD1D, CD81, CD86, DCP1B, DCTN2, FCGR1A, HLA-DMA, HLA-DQB1, HLA-DRB1, ICAM2, IRAK1BP1, IRAK2, IRAK4, LILRB4, MYD88, NOD1, NOD2, TAP1, TIRAP, TLR1, TLR10, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, TRAF6",98.72,98.72,1,0
