"process","genes","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size"
"TOLL-LIKE RECEPTOR 9 SIGNALING PATHWAY","IRAK4","PRR, TLR9, Pathway","Innate","PRR","All","GO:0034162",2
"TOLL-LIKE RECEPTOR 9 SIGNALING PATHWAY","EPG5","PRR, TLR9, Pathway","Innate","PRR","All","GO:0034162",2
"TOLL-LIKE RECEPTOR 9 SIGNALING PATHWAY","UNC93B1","PRR, TLR9, Pathway","Innate","PRR","All","GO:0034162",2
"TOLL-LIKE RECEPTOR 9 SIGNALING PATHWAY","HAVCR2","PRR, TLR9, Pathway","Innate","PRR","All","GO:0034162",2
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","AP3B1","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR4","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","FOSL1","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","RPS6KA3","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","MAPKAPK2","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","PLCG2","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","BCL10","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TICAM1","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","CTSS","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","IRAK1","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR1","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR2","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR3","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR5","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TRAF3","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","MAPKAPK3","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR6","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","LY96","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","IRAK4","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR8","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR9","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","NFKBIZ","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","LRRC19","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","UNC93B1","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR10","PRR, TLR, Pathway","Innate","PRR","All","GO:0002224",9
"TOLL-LIKE RECEPTOR TLR1:TLR2 SIGNALING PATHWAY","SCIMP","PRR, TLR1:2, Pathway","Innate","PRR","All","GO:0038123",1
"TRAM-DEPENDENT TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","PRKCE","PRR, TLR4 TRAM dep, Pathway","Innate","PRR","All","GO:0035669",3
"TRAM-DEPENDENT TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","TICAM2","PRR, TLR4 TRAM dep, Pathway","Innate","PRR","All","GO:0035669",3
"TRAM-DEPENDENT TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","RAB11FIP2","PRR, TLR4 TRAM dep, Pathway","Innate","PRR","All","GO:0035669",3
"TRANSITIONAL ONE STAGE B CELL DIFFERENTIATION","ABL1","Differentiation, B cell, Transitional one stage","Adaptive","Humoral","B cell","GO:0002333",1
"TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TICAM2","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666",4
"TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TICAM1","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666",4
"TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR4","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666",4
"TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","CD40","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666",4
"TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","IRF3","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666",4
"TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TRAF3","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666",4
"TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR6","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666",4
"TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","CD300LF","PRR, TLR TRIF dep, Pathway","Innate","PRR","All","GO:0035666",4
