Cond1,Cond2,Shared,Total_Genes_Cond1,Percentage_Shared_Cond1,pvalue,-log(p)
"I (D10, severe)","ChAd (V2, D3)",66,215,30.7,6.805045093889975e-205,204.16716899258222
"I (D10, severe)","ChAd (V2, D7)",2,18,11.11,9.316362999099686e-21,20.030753598128488
"I (D10, severe)","ChAd-BNT (V2, D3)",203,1156,17.56,0,Inf
"I (D10, severe)","ChAd-BNT (V2, D7)",170,972,17.49,0,Inf
"I (D10, severe)","ChAd-BNT (V3, D1)",191,1388,13.76,0,Inf
"I (D10, severe)","I (D10, moderate)",1893,3139,60.31,0,Inf
"I (D10, severe)","I (D26, moderate)",1335,4096,32.59,2.641279173313272e-292,291.5781856930673
"I (D10, severe)","I (D26, severe)",2498,4096,60.99,9.904859643498336e-262,261.00415167423813
"I (D10, severe)","I (D51, moderate)",24,4096,0.59,6.671619113842931e-56,55.17576875575731
"I (D10, severe)","I (D51, severe)",1543,4096,37.67,2.475434786893851e-280,279.6063485102799
"I (D10, severe)",I-BNT-I (D2),2,4096,0.05,8.718372366776883e-10,9.059564585951177
"I (D10, severe)",I-I (D1),7,4096,0.17,9.032342878937752e-74,73.04419958441301
"I (D10, severe)","ZF2001 (V3, D07)",306,4096,7.47,0,Inf
"I (D10, severe)","ZF2001 (V3, D14)",39,4096,0.95,0,Inf
"I (D10, severe)","ZF2001 (V3, D28)",13,4096,0.32,3.8093716159366165e-56,55.41914665850778
"I (D26, moderate)","BNT (V2, D1)",36,694,5.19,0,Inf
"I (D26, moderate)","BNT (V3, D1)",56,708,7.91,0,Inf
"I (D26, moderate)",BNT-I (D1),273,1101,24.8,0,Inf
"I (D26, moderate)","BNT-I (D10, mild)",1331,4448,29.92,2.017199e-317,316.6952512802411
"I (D26, moderate)","BNT-I (D10, severe)",1678,4635,36.2,3.756489879828261e-143,142.4252177768337
"I (D26, moderate)","BNT-I (D26, mild)",999,2593,38.53,0,Inf
"I (D26, moderate)","BNT-I (D26, severe)",302,593,50.93,3.857004905300224e-202,201.41374980880224
"I (D26, moderate)",BNT-I (D3),240,664,36.14,1.1379786199115231e-301,300.94386589729214
"I (D26, moderate)",BNT-I (D4),38,150,25.33,3.0176476194241435e-154,153.5203314755858
"I (D26, moderate)","BNT-I-BNT (D51, mild)",124,363,34.16,1.364722043560255e-230,229.86495579348792
"I (D26, moderate)","BNT-I-BNT (D51, severe)",26,113,23.01,2.2267302456623384e-131,130.65233239181921
"I (D26, moderate)","BNT-MO (V3, D1)",90,1254,7.18,0,Inf
"I (D26, moderate)","ChAd (V1, D3)",82,903,9.08,0,Inf
"I (D26, moderate)","ChAd (V1, D6)",24,302,7.95,5.675497644919049e-197,196.24599605220237
"I (D26, moderate)","ChAd (V1, D7)",98,337,29.08,1.0062901516878923e-183,182.99727677762175
"I (D26, moderate)","ChAd (V2, D1)",47,916,5.13,0,Inf
