condition,genes,base_mean,log2fold_change,lfc_se,stat,pvalue,padj,direction,...10,gse_id,samples_bygse,vaccine,samples_byvaccine,samples,day,week,dose,infection,type,regimen,disease_vac,severity,variant,prior_infection,previous_vaccination
"BNT (V2, D1)",DAPK2,635.23916625999,-0.420755934989507,0.0980838478763316,-4.28975763185815,1.78868211331426e-5,1.3331271375795e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TAP1,4221.66405134513,1.39136575716756,0.102826232873867,13.5312334049454,1.02292800135558e-41,3.96965415576905e-39,UP,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TAP1,4221.66405134513,1.39136575716756,0.102826232873867,13.5312334049454,1.02292800135558e-41,3.96965415576905e-39,UP,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TAP1,4221.66405134513,1.39136575716756,0.102826232873867,13.5312334049454,1.02292800135558e-41,3.96965415576905e-39,UP,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",MTERF2,91.1494544689135,-0.227794844255607,0.0632305074705064,-3.60260977443303,3.150382884332e-4,0.00165666436655184,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ARIH1,1570.72390720964,0.0951000369953978,0.0309804117951231,3.06968279260795,0.00214286230290763,0.00863936877749128,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SCNM1,564.971351317534,0.110320935581383,0.0445756914215838,2.47491249295496,0.0133268824663625,0.040276174887782,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CAB39L,81.016718767144,0.138116006945562,0.052291211678688,2.64128526594945,0.0082592144839263,0.0269877229661733,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",HRH2,1910.15486513826,-0.337736177520407,0.0786814327412254,-4.29245078227266,1.76711729116014e-5,1.3213558947878e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CABIN1,1473.13672662412,-0.247095101832108,0.0367575203819067,-6.72230061399182,1.78877422598894e-11,4.6435118682815e-10,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RPS4X,7744.537272825,-0.335867629631238,0.0651664303285658,-5.15399766318042,2.54991120391496e-7,3.03287100908244e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ZNF790-AS1,44.5691300382942,-0.32189402338638,0.0765343775109289,-4.20587497873638,2.60073982120935e-5,1.8585062093136e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
