"","process_1","process_2","shared_genes","genes"
"50","GENERAL","B CELL",67,"CD19,BCAR1,LAX1,BCL3,ITGA4,IFNA8,IL7,NOTCH2,GATA3,IFNE,MS4A1,BCL2,MEF2C,GPR183,RBPJ,RAG1,VAV1,IL2RG,IL10,CEBPG,CR2,PIK3R1,CXCR5,ZAP70,IL7R,CD79B,TLR4,CTLA4,CD70,FCGR2B,IRF8,IL9,HLA-G,CD40LG,CLEC4G,IL4R,CD86,FGR,CD40,MYO1G,PRKDC,PRKCE,CD81,TEC,CTPS1,MBL2,BCL6,CD79A,BTK,LBP,SYK,C4B,C17orf99,ITK,JAK3,HCK,BST2,FCER1G,SRC,BCL10,TICAM1,BAX,FLT3,SOS1,VCAM1,RC3H1,SPNS2"
"51","GENERAL","IMMUNOGLOBULIN MEDIATED RESPONSE",67,"CD19,BCAR1,LAX1,BCL3,ITGA4,IFNA8,IL7,NOTCH2,GATA3,IFNE,MS4A1,BCL2,MEF2C,GPR183,RBPJ,RAG1,VAV1,IL2RG,IL10,CEBPG,CR2,PIK3R1,CXCR5,ZAP70,IL7R,CD79B,TLR4,CTLA4,CD70,FCGR2B,IRF8,IL9,HLA-G,CD40LG,CLEC4G,IL4R,CD86,FGR,CD40,MYO1G,PRKDC,PRKCE,CD81,TEC,CTPS1,MBL2,BCL6,CD79A,BTK,LBP,SYK,C4B,C17orf99,ITK,JAK3,HCK,BST2,FCER1G,SRC,BCL10,TICAM1,BAX,FLT3,SOS1,VCAM1,RC3H1,SPNS2"
"52","IMMUNOGLOBULIN MEDIATED RESPONSE","GENERAL",67,"TICAM1,CXCR5,CD79A,CD40,MS4A1,LAX1,BTK,ZAP70,CD86,BST2,GPR183,IFNA8,PIK3R1,RAG1,IL2RG,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,ITGA4,CD40LG,IL10,BCL2,RBPJ,IFNE,FLT3,VCAM1,IL9,SPNS2,BAX,MEF2C,IL7R,RC3H1,SOS1,PRKDC,CD70,CD19,TLR4,IL7,CTPS1,BCAR1,CTLA4,ITK,TEC,SRC,VAV1,PRKCE,MYO1G,HCK,FGR,FCGR2B,IRF8,BCL3,CD81,CLEC4G,IL4R,BCL10,FCER1G,NOTCH2,C17orf99,LBP,C4B,MBL2,HLA-G,GATA3"
"53","ANTIMICROBIAL","GENERAL",63,"FAM3A,TAC1,DEFA4,CAMP,CXCL14,CXCL12,DEFA1,FAU,CCL20,DEFB130A,TOR2A,CXCL1,DEFA3,DEFB131A,REG1B,H2BC10,ROMO1,NTS,CXCL2,HAMP,S100A12,CXCL8,CXCL9,REG3A,GNLY,RNASE3,RPS19,BPI,REG3G,RPL30,DEFB1,LGALS3,PF4V1,H2BC12L,SPAG11A,CCL1,HTN1,DEFB103A,DEFA5,DEFA6,B2M,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,RPL39,HTN3,S100A7,DCD,F2,ADM,CCL18,PRTN3,BCL3,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1"
"54","ANTIMICROBIAL","HUMORAL ADAPTIVE IMMUNE SYSTEM",63,"FAM3A,TAC1,DEFA4,CAMP,CXCL14,CXCL12,DEFA1,FAU,CCL20,DEFB130A,TOR2A,CXCL1,DEFA3,DEFB131A,REG1B,H2BC10,ROMO1,NTS,CXCL2,HAMP,S100A12,CXCL8,CXCL9,REG3A,GNLY,RNASE3,RPS19,BPI,REG3G,RPL30,DEFB1,LGALS3,PF4V1,H2BC12L,SPAG11A,CCL1,HTN1,DEFB103A,DEFA5,DEFA6,B2M,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,RPL39,HTN3,S100A7,DCD,F2,ADM,CCL18,PRTN3,BCL3,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1"
"55","GENERAL","ANTIMICROBIAL",63,"TAC1,DEFA4,B2M,DEFB1,CAMP,DEFA1,H2BC10,DEFA3,BPI,RNASE3,DEFA6,H2BC12L,RPL39,FAU,DEFA5,ADM,FAM3A,CXCL14,CXCL12,CCL20,DEFB130A,TOR2A,CXCL1,DEFB131A,REG1B,ROMO1,NTS,CXCL2,HAMP,S100A12,CXCL8,CXCL9,REG3A,GNLY,RPS19,REG3G,RPL30,LGALS3,PF4V1,SPAG11A,CCL1,HTN1,DEFB103A,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,HTN3,S100A7,DCD,F2,CCL18,PRTN3,BCL3,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1"
"56","HUMORAL ADAPTIVE IMMUNE SYSTEM","ANTIMICROBIAL",63,"TAC1,DEFA4,B2M,DEFB1,CAMP,DEFA1,H2BC10,DEFA3,BPI,RNASE3,DEFA6,H2BC12L,RPL39,FAU,DEFA5,ADM,FAM3A,CXCL14,CXCL12,CCL20,DEFB130A,TOR2A,CXCL1,DEFB131A,REG1B,ROMO1,NTS,CXCL2,HAMP,S100A12,CXCL8,CXCL9,REG3A,GNLY,RPS19,REG3G,RPL30,LGALS3,PF4V1,SPAG11A,CCL1,HTN1,DEFB103A,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,HTN3,S100A7,DCD,F2,CCL18,PRTN3,BCL3,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1"
"57","B CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM",62,"PHB1,CHRNA7,RASGRP1,HSPD1,BTK,ZAP70,CD86,GPR183,PLCG2,PTPRC,IFNA8,PIK3R1,RAG1,RAG2,IL2RG,PTPRJ,STAT5B,PTPN2,SYK,JAK3,CR2,BCL6,KIT,SP3,CD40LG,IL10,BCL2,FOSL2,IFNE,ADAM17,SPNS2,BAX,IL7R,RC3H1,NCKAP1L,CASP3,PRKDC,CD70,TLR4,ABL1,IL7,CTPS1,BCAR1,CTLA4,ITK,MAPK1,PTPN6,TEC,SRC,VAV1,MYO1G,BCL3,CD81,WNT4,CLEC4G,IL4R,BCL10,FCER1G,LIG4,STAT6,LFNG,GATA3"
"58","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELL",62,"ABL1,STAT5B,ZAP70,CLEC4G,PTPRC,SYK,CD81,IL2RG,BCL2,LIG4,RAG2,ITK,NCKAP1L,BAX,FOSL2,CD86,CHRNA7,HSPD1,VAV1,RASGRP1,IFNE,IFNA8,GPR183,PTPN6,SRC,CD40LG,GATA3,KIT,PTPN2,LFNG,IL7R,PIK3R1,SP3,RAG1,ADAM17,PRKDC,WNT4,FCER1G,SPNS2,JAK3,RC3H1,CASP3,IL7,MYO1G,CR2,CD70,CTPS1,BTK,PLCG2,MAPK1,CTLA4,BCL10,TEC,BCAR1,PTPRJ,IL4R,STAT6,TLR4,BCL3,PHB1,BCL6,IL10"
"59","CELLULAR ADAPTIVE IMMUNE SYSTEM","IMMUNOGLOBULIN MEDIATED RESPONSE",62,"ABL1,STAT5B,ZAP70,CLEC4G,PTPRC,SYK,CD81,IL2RG,BCL2,LIG4,RAG2,ITK,NCKAP1L,BAX,FOSL2,CD86,CHRNA7,HSPD1,VAV1,RASGRP1,IFNE,IFNA8,GPR183,PTPN6,SRC,CD40LG,GATA3,KIT,PTPN2,LFNG,IL7R,PIK3R1,SP3,RAG1,ADAM17,PRKDC,WNT4,FCER1G,SPNS2,JAK3,RC3H1,CASP3,IL7,MYO1G,CR2,CD70,CTPS1,BTK,PLCG2,MAPK1,CTLA4,BCL10,TEC,BCAR1,PTPRJ,IL4R,STAT6,TLR4,BCL3,PHB1,BCL6,IL10"
"60","IMMUNOGLOBULIN MEDIATED RESPONSE","CELLULAR ADAPTIVE IMMUNE SYSTEM",62,"PHB1,CHRNA7,RASGRP1,HSPD1,BTK,ZAP70,CD86,GPR183,PLCG2,PTPRC,IFNA8,PIK3R1,RAG1,RAG2,IL2RG,PTPRJ,STAT5B,PTPN2,SYK,JAK3,CR2,BCL6,KIT,SP3,CD40LG,IL10,BCL2,FOSL2,IFNE,ADAM17,SPNS2,BAX,IL7R,RC3H1,NCKAP1L,CASP3,PRKDC,CD70,TLR4,ABL1,IL7,CTPS1,BCAR1,CTLA4,ITK,MAPK1,PTPN6,TEC,SRC,VAV1,MYO1G,BCL3,CD81,WNT4,CLEC4G,IL4R,BCL10,FCER1G,LIG4,STAT6,LFNG,GATA3"
"61","ADAPTIVE IMMUNE SYSTEM","ARPP",61,"CLEC6A,LAG3,HLA-DRB3,SYK,CTSS,BCL10,KLRC1,KLRC2,BTK,MCOLN2,GPR183,HMGB1,PIK3CG,KLRK1,P0DOX3,TICAM1,CD40,PHB1,HSPD1,PLCG2,EP300,RBPJ,TLR4,NFKBIA,TNFAIP3,LIPA,CCR7,SRC,PRKCE,HCK,IRF8,SPI1,JAML,CCL2,MPL,DOCK8,CCL3,CCL18,CCL4,CCL7,XCL1,CX3CL1,CCL4L1,CCL1,CCL3L1,SAA1,CCL8,CCL24,CCL5,CCL20,CCL23,RELB,NOTCH2,LBP,MBL2,PSEN1,JMJD6,SLC11A1,CCR2,IL6R,IL33"
"62","ARPP","ADAPTIVE IMMUNE SYSTEM",61,"MBL2,LBP,CCR2,CCR7,HMGB1,GPR183,PIK3CG,CCL5,DOCK8,JMJD6,SLC11A1,TLR4,TICAM1,IL33,PRKCE,SYK,PLCG2,CCL2,SAA1,CCL3,LIPA,MCOLN2,P0DOX3,CCL3L1,CX3CL1,IL6R,CCL18,CCL1,CCL7,XCL1,CCL23,CCL4,CCL4L1,CCL24,CCL20,CCL8,JAML,MPL,HSPD1,BTK,HLA-DRB3,SPI1,NOTCH2,PSEN1,RELB,RBPJ,NFKBIA,TNFAIP3,LAG3,IRF8,HCK,PHB1,KLRC1,EP300,CLEC6A,KLRC2,SRC,KLRK1,BCL10,CTSS,CD40"
"63","GENERAL","NEUTROPHIL",61,"CAMP,CTSG,CCL20,CXCL1,CXCL2,S100A12,CXCL8,CXCL9,LGALS3,PF4V1,CCL1,CXCL6,CXCL3,CXCL5,XCL1,CCL8,F2,CCL18,PRTN3,AZU1,ITGA1,PECAM1,IL6R,CCR2,CCL2,VAV1,CCL4L1,IL18RAP,CCL24,CCL4,IL15,CCL23,CXCR1,PIK3CG,CCL7,CCL3L1,CCL5,FCAR,CCL3,CXCR2,C5AR1,CX3CL1,JAGN1,F2RL1,HMGB1,CSF1,BTK,CD177,LBP,SYK,JAML,MCOLN2,NLRP6,GP2,FCER1G,AXL,LILRA2,SCNN1B,PPIA,PDE4B,ELANE"
"64","NEUTROPHIL","GENERAL",61,"CXCL8,F2RL1,IL15,CCL5,CXCR2,IL18RAP,FCAR,CXCL6,CTSG,CAMP,FCER1G,LILRA2,SYK,SCNN1B,CXCL9,JAML,CCL24,CCL18,C5AR1,PIK3CG,CCL8,CCL1,CCL3L1,CX3CL1,ITGA1,LBP,CCL3,XCL1,CXCR1,PDE4B,VAV1,LGALS3,CXCL3,S100A12,CXCL5,PF4V1,CCL4L1,CCL4,CCL7,CCL23,CCL20,PPIA,CCL2,CXCL1,CXCL2,HMGB1,CCR2,AXL,PECAM1,CD177,PRTN3,BTK,CSF1,IL6R,JAGN1,GP2,MCOLN2,AZU1,ELANE,F2,NLRP6"
"65","B CELL","T CELL",57,"CHRNA7,RASGRP1,HSPD1,BTK,ZAP70,CD86,GPR183,PLCG2,PTPRC,IFNA8,PIK3R1,RAG1,RAG2,IL2RG,PTPRJ,STAT5B,PTPN2,SYK,JAK3,CR2,BCL6,KIT,SP3,CD40LG,IL10,BCL2,FOSL2,IFNE,ADAM17,SPNS2,BAX,IL7R,RC3H1,NCKAP1L,CASP3,PRKDC,CD70,ABL1,IL7,CTPS1,BCAR1,CTLA4,ITK,MAPK1,PTPN6,TEC,SRC,VAV1,MYO1G,CD81,WNT4,CLEC4G,BCL10,FCER1G,LIG4,LFNG,GATA3"
"66","IMMUNOGLOBULIN MEDIATED RESPONSE","T CELL",57,"CHRNA7,RASGRP1,HSPD1,BTK,ZAP70,CD86,GPR183,PLCG2,PTPRC,IFNA8,PIK3R1,RAG1,RAG2,IL2RG,PTPRJ,STAT5B,PTPN2,SYK,JAK3,CR2,BCL6,KIT,SP3,CD40LG,IL10,BCL2,FOSL2,IFNE,ADAM17,SPNS2,BAX,IL7R,RC3H1,NCKAP1L,CASP3,PRKDC,CD70,ABL1,IL7,CTPS1,BCAR1,CTLA4,ITK,MAPK1,PTPN6,TEC,SRC,VAV1,MYO1G,CD81,WNT4,CLEC4G,BCL10,FCER1G,LIG4,LFNG,GATA3"
"67","T CELL","B CELL",57,"ABL1,STAT5B,ZAP70,CLEC4G,PTPRC,SYK,CD81,IL2RG,BCL2,LIG4,RAG2,ITK,CD86,CHRNA7,HSPD1,VAV1,RASGRP1,IFNE,IFNA8,GPR183,PTPN6,SRC,CD40LG,GATA3,KIT,FOSL2,PTPN2,LFNG,IL7R,PIK3R1,SP3,RAG1,ADAM17,PRKDC,WNT4,FCER1G,SPNS2,JAK3,NCKAP1L,RC3H1,CASP3,BAX,IL7,MYO1G,CR2,CD70,CTPS1,BTK,PLCG2,MAPK1,CTLA4,BCL10,TEC,BCAR1,PTPRJ,BCL6,IL10"
"68","T CELL","IMMUNOGLOBULIN MEDIATED RESPONSE",57,"ABL1,STAT5B,ZAP70,CLEC4G,PTPRC,SYK,CD81,IL2RG,BCL2,LIG4,RAG2,ITK,CD86,CHRNA7,HSPD1,VAV1,RASGRP1,IFNE,IFNA8,GPR183,PTPN6,SRC,CD40LG,GATA3,KIT,FOSL2,PTPN2,LFNG,IL7R,PIK3R1,SP3,RAG1,ADAM17,PRKDC,WNT4,FCER1G,SPNS2,JAK3,NCKAP1L,RC3H1,CASP3,BAX,IL7,MYO1G,CR2,CD70,CTPS1,BTK,PLCG2,MAPK1,CTLA4,BCL10,TEC,BCAR1,PTPRJ,BCL6,IL10"
"69","B CELL","INNATE IMMUNE SYSTEM",56,"TICAM1,CD40,PHB1,RASGRP1,HSPD1,BTK,ZAP70,BST2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,IFNA8,EP300,STAT5B,SYK,CEBPG,JAK3,CR2,KIT,SP3,IL10,RBPJ,FOSL2,IFNE,ADAM17,BAX,NCKAP1L,PRKDC,TLR4,PRKCD,MNDA,ITK,NFKBIA,PTPN6,NFKB1,TNFAIP3,SRC,VAV1,PRKCE,HCK,FGR,FCGR2B,IRF8,SPI1,MPL,BCL10,FCER1G,NOTCH2,PTX3,LBP,C4B,MBL2,HLA-G,GATA3"
"70","IMMUNOGLOBULIN MEDIATED RESPONSE","INNATE IMMUNE SYSTEM",56,"TICAM1,CD40,PHB1,RASGRP1,HSPD1,BTK,ZAP70,BST2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,IFNA8,EP300,STAT5B,SYK,CEBPG,JAK3,CR2,KIT,SP3,IL10,RBPJ,FOSL2,IFNE,ADAM17,BAX,NCKAP1L,PRKDC,TLR4,PRKCD,MNDA,ITK,NFKBIA,PTPN6,NFKB1,TNFAIP3,SRC,VAV1,PRKCE,HCK,FGR,FCGR2B,IRF8,SPI1,MPL,BCL10,FCER1G,NOTCH2,PTX3,LBP,C4B,MBL2,HLA-G,GATA3"
"71","INNATE IMMUNE SYSTEM","B CELL",56,"MNDA,TLR4,PRKDC,PLCG2,BCL10,HLA-G,FCER1G,FCGR2B,PHB1,MBL2,MPL,LBP,IRF8,IL10,GPR183,BTK,FOSL2,NOTCH2,RBPJ,RASGRP1,BST2,PTX3,JAK3,FGR,C4B,TICAM1,SYK,GATA3,HCK,NFKB1,SRC,ZAP70,CR2,PRKCE,KIT,STAT5B,HSPD1,NCKAP1L,BAX,SPI1,IFNA8,IFNE,SP3,PTPRC,PTPN6,CEBPG,PRKCD,VAV1,ADAM17,ITK,NFKBIA,TNFAIP3,CH25H,CD40,EP300,HDAC4"
"72","INNATE IMMUNE SYSTEM","IMMUNOGLOBULIN MEDIATED RESPONSE",56,"MNDA,TLR4,PRKDC,PLCG2,BCL10,HLA-G,FCER1G,FCGR2B,PHB1,MBL2,MPL,LBP,IRF8,IL10,GPR183,BTK,FOSL2,NOTCH2,RBPJ,RASGRP1,BST2,PTX3,JAK3,FGR,C4B,TICAM1,SYK,GATA3,HCK,NFKB1,SRC,ZAP70,CR2,PRKCE,KIT,STAT5B,HSPD1,NCKAP1L,BAX,SPI1,IFNA8,IFNE,SP3,PTPRC,PTPN6,CEBPG,PRKCD,VAV1,ADAM17,ITK,NFKBIA,TNFAIP3,CH25H,CD40,EP300,HDAC4"
"73","ANTIVIRAL & IFN","GENERAL",53,"RNF135,TRIM65,MAVS,NMB,RIGI,IFIT1,EIF2AK2,STING1,MBL2,IFIT2,NLRP6,MX1,WAS,CCL5,CCL4,CCL8,GBP6,CCL1,GBP2,CCL3,GBP1,CCL4L1,CCL3L1,CCL18,CCL2,FCAR,CX3CL1,XCL1,TLR4,IRF8,CCL20,LGALS9,CCL24,FASLG,CCL7,CCL23,GBP7,HLA-DPA1,ACOD1,IFNE,IFITM1,OAS2,TYK2,IFI27,TBKBP1,IFITM3,IFITM2,IFNA8,IRF1,HCK,IFNLR1,IL10RB,IFNL2"
"74","GENERAL","ANTIVIRAL & IFN",53,"CCL20,CCL1,XCL1,CCL8,CCL18,IFNA8,IFNE,CCL2,HLA-DPA1,CCL4L1,CCL24,CCL4,IFITM2,CCL23,IL10RB,WAS,FASLG,CCL7,TYK2,CCL3L1,CCL5,TLR4,FCAR,CCL3,IRF8,GBP6,GBP2,IFITM3,CX3CL1,EIF2AK2,LGALS9,RNF135,IFIT2,GBP1,ACOD1,RIGI,MBL2,NMB,TRIM65,MAVS,STING1,IRF1,OAS2,IFIT1,IFITM1,HCK,GBP7,NLRP6,MX1,TBKBP1,IFI27,IFNL2,IFNLR1"
"75","INNATE IMMUNE SYSTEM","NK CELL",41,"RAB27A,HLA-E,RAET1G,XCL1,LGALS9,KIF5B,IL12B,PIK3CG,VAMP7,UNC13D,RASGRP1,KLRC2,KLRK1,GATA3,CORO1A,AXL,FCGR3A,STAT5B,PRDX1,BAG6,IL2,IFNA8,IFNE,KLRF2,KAT7,SP3,PBX1,PTPRC,MERTK,TYRO3,IL15,PTPN6,GZMB,LAG3,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIR3DL1,CLEC2A,EMP2"
"76","NK CELL","INNATE IMMUNE SYSTEM",41,"XCL1,IL12B,PRDX1,GATA3,KLRK1,BAG6,FCGR3A,IL2,RASGRP1,IFNA8,IFNE,PIK3CG,UNC13D,KLRF2,RAB27A,VAMP7,CORO1A,KAT7,SP3,PBX1,PTPRC,MERTK,AXL,STAT5B,TYRO3,IL15,PTPN6,GZMB,RAET1G,LAG3,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIF5B,KIR3DL1,CLEC2A,KLRC2,EMP2,LGALS9,HLA-E"
"77","ARPP","HUMORAL ADAPTIVE IMMUNE SYSTEM",40,"MBL2,LBP,CCR2,GPR183,ALOX5,HAMP,SLC11A1,TLR4,TICAM1,PRKCE,SYK,PLCG2,CCL2,LGALS3,AZU1,LIPA,CCL18,CCL1,CTSG,XCL1,CCL20,RPS19,CCL8,S100A12,MPL,REG3G,HSPD1,BTK,SPI1,NOTCH2,RBPJ,NFKBIA,TNFAIP3,IRF8,HCK,PHB1,EP300,SRC,BCL10,CD40"
"78","HUMORAL ADAPTIVE IMMUNE SYSTEM","ARPP",40,"CTSG,CCL20,HAMP,S100A12,RPS19,REG3G,LGALS3,CCL1,XCL1,CCL8,CCL18,SLC11A1,AZU1,TICAM1,CD40,PHB1,HSPD1,BTK,GPR183,PLCG2,EP300,SYK,RBPJ,TLR4,NFKBIA,TNFAIP3,SRC,PRKCE,HCK,IRF8,SPI1,CCR2,NOTCH2,ALOX5,CCL2,MPL,BCL10,LBP,MBL2,LIPA"
"79","ADAPTIVE IMMUNE SYSTEM","NEUTROPHIL",38,"SYK,BTK,MCOLN2,HMGB1,PIK3CG,ADAM17,NCKAP1L,PRKCD,IL15,FCER1G,VAV1,CXADR,JAML,CCL2,MPL,AXL,MERTK,CCL3,CCL18,CCL4,CCL7,XCL1,CX3CL1,CCL4L1,CCL1,CCL3L1,SAA1,CCL8,CCL24,CCL5,CCL20,CCL23,LBP,F2RL1,EMP2,PDE4B,CCR2,IL6R"
"80","ANTIMICROBIAL","INNATE IMMUNE SYSTEM",38,"TAC1,DEFA4,CAMP,DEFA1,FAU,CCL20,CXCL1,DEFA3,DEFB131A,H2BC10,CXCL2,HAMP,S100A12,CXCL8,CXCL9,RNASE3,RPS19,BPI,REG3G,DEFB1,LGALS3,PF4V1,H2BC12L,CCL1,DEFA5,DEFA6,B2M,CXCL6,CXCL3,CXCL5,XCL1,CCL8,RPL39,F2,CCL18,PRTN3,SLC11A1,AZU1"
"81","INNATE IMMUNE SYSTEM","ANTIMICROBIAL",38,"B2M,SLC11A1,CCL8,CCL1,CCL18,XCL1,CCL20,LGALS3,BPI,CAMP,TAC1,DEFB131A,DEFB1,RNASE3,S100A12,DEFA5,DEFA4,DEFA6,FAU,H2BC12L,DEFA3,H2BC10,DEFA1,RPL39,HAMP,AZU1,RPS19,REG3G,CXCL8,CXCL6,CXCL9,CXCL3,CXCL5,PF4V1,CXCL1,CXCL2,PRTN3,F2"
"82","NEUTROPHIL","ADAPTIVE IMMUNE SYSTEM",38,"F2RL1,IL15,CCL5,PRKCD,FCER1G,SYK,JAML,CCL24,CCL18,PIK3CG,SAA1,CCL8,CCL1,CCL3L1,CX3CL1,LBP,CCL3,NCKAP1L,XCL1,PDE4B,VAV1,CCL4L1,CCL4,CCL7,CXADR,CCL23,CCL20,CCL2,HMGB1,CCR2,MERTK,AXL,BTK,MPL,ADAM17,IL6R,EMP2,MCOLN2"
"83","ARPP","NEUTROPHIL",36,"LBP,CCR2,CXCR2,CXCR1,HMGB1,PIK3CG,CCL5,EDN2,SYK,CCL2,LGALS3,AZU1,SAA1,CCL3,CSF1,MCOLN2,BCR,CCL3L1,CX3CL1,IL6R,CCL18,CCL1,CCL7,CTSG,XCL1,CCL23,CCL4,CCL4L1,CCL24,CCL20,CCL8,S100A12,JAML,PECAM1,MPL,BTK"
"84","NEUTROPHIL","ARPP",36,"CCL5,CXCR2,CTSG,SYK,JAML,CCL24,CCL18,PIK3CG,SAA1,CCL8,CCL1,CCL3L1,CX3CL1,LBP,CCL3,XCL1,CXCR1,LGALS3,S100A12,EDN2,CCL4L1,CCL4,CCL7,CCL23,CCL20,CCL2,HMGB1,CCR2,BCR,PECAM1,BTK,CSF1,MPL,IL6R,MCOLN2,AZU1"
"85","ARPP","MACROPHAGE",35,"LBP,CCR2,CCL5,IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,SLC11A1,ADGRF5,TLR4,EDN2,TICAM1,IFI35,IL33,PRKCE,SYK,PLCG2,SFTPD,CCL2,LGALS3,AZU1,EDNRB,RPL13A,CXCL17,SAA1,CCL3,MMP2,LIPA,CSF1,ROR2,MCOLN2,BCR,B4GALT1"
"86","INNATE IMMUNE SYSTEM","MACROPHAGE",35,"TLR4,PLCG2,SLC11A1,LBP,CCL5,CCL3,CCL2,RPL13A,CCR2,LGALS3,IFI35,SFTPD,CSF1,TICAM1,SYK,MCOLN2,IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,ADGRF5,EDN2,IL33,PRKCE,AZU1,EDNRB,CXCL17,SAA1,MMP2,LIPA,ROR2,BCR,B4GALT1"
"87","MACROPHAGE","ARPP",35,"IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,SLC11A1,ADGRF5,TLR4,EDN2,TICAM1,IFI35,IL33,PRKCE,SYK,LBP,PLCG2,SFTPD,CCL2,LGALS3,AZU1,EDNRB,RPL13A,CXCL17,CCL5,SAA1,CCL3,MMP2,LIPA,CSF1,ROR2,MCOLN2,BCR,CCR2,B4GALT1"
"88","MACROPHAGE","INNATE IMMUNE SYSTEM",35,"IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,SLC11A1,ADGRF5,TLR4,EDN2,TICAM1,IFI35,IL33,PRKCE,SYK,LBP,PLCG2,SFTPD,CCL2,LGALS3,AZU1,EDNRB,RPL13A,CXCL17,CCL5,SAA1,CCL3,MMP2,LIPA,CSF1,ROR2,MCOLN2,BCR,CCR2,B4GALT1"
"89","ARPP","CELLULAR ADAPTIVE IMMUNE SYSTEM",34,"CCR2,CCR7,HMGB1,GPR183,PIK3CG,DOCK8,IL13,HAMP,JMJD6,SLC11A1,TLR4,IL33,SYK,PLCG2,CCL2,AZU1,CCL3,LIPA,CX3CL1,IL6R,CCL20,JAML,HSPD1,BTK,HLA-DRB3,PSEN1,RELB,LAG3,PHB1,KLRC1,SRC,KLRK1,NAGLU,BCL10"
"90","CELLULAR ADAPTIVE IMMUNE SYSTEM","ARPP",34,"SYK,KLRC1,CCR7,JAML,CCL2,DOCK8,IL13,CX3CL1,AZU1,NAGLU,IL33,HAMP,HSPD1,LAG3,PIK3CG,PSEN1,CCL3,GPR183,SRC,KLRK1,LIPA,JMJD6,CCL20,SLC11A1,BTK,PLCG2,BCL10,HLA-DRB3,HMGB1,RELB,TLR4,CCR2,IL6R,PHB1"
"91","ARPP","MONOCYTE",32,"CCR2,CCL5,CCL2,LGALS3,AZU1,CCL3,CSF1,HYAL2,MT1G,SPACA3,P0DOX3,CCL3L1,CX3CL1,IL6R,CCL18,CCL1,CCL7,CTSG,XCL1,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCL20,RPS19,CCL8,S100A12,JAML,SIRPA,PECAM1,MPL"
"92","INNATE IMMUNE SYSTEM","MONOCYTE",32,"MPL,CCL5,CCL4,CCL8,CCL1,CCL3,CCL4L1,CCL3L1,CCL18,CCL2,CX3CL1,XCL1,CCL20,CCL24,SIRPA,CCL7,CCL23,CCR2,LGALS3,CSF1,S100A12,AZU1,HYAL2,MT1G,SPACA3,P0DOX3,IL6R,CTSG,FLT1,RPS19,JAML,PECAM1"
"93","MONOCYTE","ARPP",32,"AZU1,HYAL2,MT1G,CSF1,SPACA3,P0DOX3,CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12,JAML,SIRPA,PECAM1,MPL"
"94","MONOCYTE","INNATE IMMUNE SYSTEM",32,"AZU1,HYAL2,MT1G,CSF1,SPACA3,P0DOX3,CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12,JAML,SIRPA,PECAM1,MPL"
"95","ADAPTIVE IMMUNE SYSTEM","ANTIVIRAL & IFN",31,"IFNA8,HLA-DPA1,IFNE,PHB1,HDAC4,TLR4,IRF1,HCK,IRF8,CCL2,CCL3,CCL18,CCL4,CCL7,XCL1,CX3CL1,CCL4L1,CCL1,CCL3L1,CCL8,CCL24,CCL5,CCL20,CCL23,MBL2,WAS,NCK1,IL12B,UBE2N,JAK1,ACOD1"
"96","ADAPTIVE IMMUNE SYSTEM","T HELPER CELLS",31,"GPR183,HMGB1,PHB1,BCL6,RC3H1,TLR4,BCL3,IL4R,STAT6,RELB,GATA3,TNFSF4,SPN,KMT2A,MTOR,IL12B,CEBPB,IL18BP,CCR2,RORC,RORA,IL6R,STAT3,IL6ST,JAK1,NOTCH1,MYB,MEN1,PTGER4,ATP7A,ZFPM1"
